ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Sum_contribution_margin_2
343513;Frau und Herrn;N;50;0;0;3;5;-;-;-;-;1281;95,55;0;0;0;-;-;-;-1;0;48,61759
343520;Herrn;N;33;0;1;1;5;-;-;-;-;1975,1;24;0;0;0;-;-;-;-0,762131148;0;88,966459
343522;Herrn;N;42;0;0;3;5;-;-;-;-;25725,975;-;0;0;0;-;-;-;0,522897196;1;192,89169
343525;Herrn;N;66;0;1;3;5;-;-;-;-;11919,403;-;0;0;0;-;-;-;-0,139059829;0;145,44070871
343528;Frau;N;55;0;1;2;5;-;-;-;-;7864,198;-;0;0;0;-;-;-;-3,125333333;0;162,56034676
343530;Herrn;N;33;0;1;3;1;04.06.2018;04.06.2018;-;-;15819,2;-;0;0;0;-;-;-;-3,498151515;0;250,175618
343531;Frau und Herrn;N;-;0;0;4;5;-;-;-;-;53883,441;-;0;0;0;-;-;-;-0,154004525;0;525,79213781
343534;Herrn;N;33;0;1;1;3;-;-;600;rot;3263,9;2,5;0;0;0;-;-;-;-1;0;127,808051
343534;Herrn;N;33;0;1;1;3;-;-;600;rot;3263,9;33;0;0;0;-;-;-;-1;0;127,808051
343534;Herrn;N;33;0;1;1;3;-;-;600;rot;3263,9;113;0;0;0;-;-;-;-1;0;127,808051
343539;Frau;N;30;0;0;1;5;-;-;-;-;2932,2;-;0;0;0;-;-;-;-0,645487805;0;116,863598
343540;Herrn;N;26;0;1;2;3;-;-;-;-;3485,2;2,5;0;0;0;-;-;-;-0,643888889;0;94,484038
343540;Herrn;N;26;0;1;2;3;-;-;-;-;3485,2;15,23;0;0;0;-;-;-;-0,643888889;0;94,484038
343540;Herrn;N;26;0;1;2;3;-;-;-;-;3485,2;54;0;0;0;-;-;-;-0,643888889;0;94,484038
343550;Frau;N;61;0;0;2;5;-;-;-;-;11031,807;-;0;0;0;-;-;-;-1;0;232,75664199
343555;Frau und Herrn;N;-;0;1;2;4;-;-;-;-;5440;-;0;0;0;-;-;-;-1,071470588;0;373,8417
343556;Herrn;N;53;1;1;6;5;-;-;-;-;71355,24;-;0;0;0;-;-;-;0,979617834;1;604,71704184
343562;Herrn;N;32;1;1;1;0;28.02.2019;28.02.2019;-;-;36388;20,63;0;0;0;-;-;-;-2,604047619;0;282,26652
343564;Herrn;N;80;0;0;2;5;-;-;-;-;563,699;-;0;0;0;-;-;-;-4,231875;0;104,62282218
343565;Frau und Herrn;N;-;0;0;2;5;-;-;-;-;4921,7;-;0;0;0;-;-;-;0,969787234;1;153,631323
343567;Herrn;N;40;0;1;1;1;-;-;600;rot;2259,054;-;0;0;0;-;-;-;-1;0;99,49831286
343569;Frau;N;-;0;0;2;5;-;-;-;-;6103,874;-;0;0;0;-;-;-;-2,751408451;0;124,84850488
343570;Herrn;N;38;0;1;1;5;-;-;-;-;4763;-;0;0;0;1;1;15.10.2019;-1;0;194,10367
